"dwal","p","u:0","u:1","u:2","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
3.562395656e-02,9.694701229e+04,1.153215261e+01,7.937093108e-01,0.000000000e+00,1.158974776e+01,8.050841274e-01,0.000000000e+00,2.173420000e-01,1.945690930e-03,0.000000000e+00
2.943640610e-02,9.694669104e+04,1.125944119e+01,7.094801569e-01,0.000000000e+00,1.131427750e+01,7.190599175e-01,0.000000000e+00,2.173420000e-01,-3.994707870e-03,0.000000000e+00
2.778767556e-02,9.694662892e+04,1.110789701e+01,6.848246144e-01,0.000000000e+00,1.116006840e+01,6.933021251e-01,0.000000000e+00,2.173420000e-01,-5.632392645e-03,0.000000000e+00
2.450838487e-02,9.694653914e+04,1.067140022e+01,6.186935508e-01,0.000000000e+00,1.071472472e+01,6.264093203e-01,0.000000000e+00,2.173420000e-01,-8.882782687e-03,0.000000000e+00
2.231588793e-02,9.694647912e+04,1.037956336e+01,5.744790640e-01,0.000000000e+00,1.041697294e+01,5.816855417e-01,0.000000000e+00,2.173420000e-01,-1.105595699e-02,0.000000000e+00
1.966309922e-02,9.694640650e+04,1.002645842e+01,5.209822090e-01,0.000000000e+00,1.005671129e+01,5.275724746e-01,0.000000000e+00,2.173420000e-01,-1.368536645e-02,0.000000000e+00
6.735932617e-03,9.694618145e+04,7.043842761e+00,1.852058849e-01,0.000000000e+00,6.953210810e+00,1.824032856e-01,0.000000000e+00,2.173420000e-01,-2.660156738e-02,0.000000000e+00
6.227540997e-03,9.694617969e+04,6.877300058e+00,1.715172170e-01,0.000000000e+00,6.773856709e+00,1.678007094e-01,0.000000000e+00,2.173420000e-01,-2.710995900e-02,0.000000000e+00
8.009004110e-03,9.694618586e+04,7.460884973e+00,2.194838945e-01,0.000000000e+00,7.402334246e+00,2.189698276e-01,0.000000000e+00,2.173420000e-01,-2.532849589e-02,0.000000000e+00
7.500612489e-03,9.694618410e+04,7.294342271e+00,2.057952266e-01,0.000000000e+00,7.222980146e+00,2.043672513e-01,0.000000000e+00,2.173420000e-01,-2.583688751e-02,0.000000000e+00
1.223884039e-02,9.694622918e+04,8.395966902e+00,3.196820807e-01,0.000000000e+00,8.371964977e+00,3.211327975e-01,0.000000000e+00,2.173420000e-01,-2.142158608e-02,0.000000000e+00
1.166887285e-02,9.694621757e+04,8.267016702e+00,3.039580899e-01,0.000000000e+00,8.238390303e+00,3.049879138e-01,0.000000000e+00,2.173420000e-01,-2.199377723e-02,0.000000000e+00
1.445520852e-02,9.694627433e+04,8.897400916e+00,3.808261795e-01,0.000000000e+00,8.891381655e+00,3.839135749e-01,0.000000000e+00,2.173420000e-01,-1.919657125e-02,0.000000000e+00
1.651620591e-02,9.694631631e+04,9.363683651e+00,4.376839851e-01,0.000000000e+00,9.374386443e+00,4.422933255e-01,0.000000000e+00,2.173420000e-01,-1.712753331e-02,0.000000000e+00
1.745159541e-02,9.694633536e+04,9.575307392e+00,4.634890613e-01,0.000000000e+00,9.593599534e+00,4.687891407e-01,0.000000000e+00,2.173420000e-01,-1.618849458e-02,0.000000000e+00
